DateTime,tz_cd,GageHeight_ft
1/2/2018 20:00,CST,6.76
1/2/2018 20:15,CST,6.76
1/2/2018 20:30,CST,6.75
1/2/2018 20:45,CST,6.74
1/2/2018 21:00,CST,6.73
1/2/2018 21:15,CST,6.72
1/2/2018 21:30,CST,6.7
1/2/2018 21:45,CST,6.69
1/2/2018 22:00,CST,6.68
1/2/2018 22:15,CST,6.67
1/2/2018 22:30,CST,6.65
1/2/2018 22:45,CST,6.64
1/2/2018 23:00,CST,6.62
1/2/2018 23:15,CST,6.61
1/2/2018 23:30,CST,6.59
1/2/2018 23:45,CST,6.58
1/3/2018 0:00,CST,6.56
1/3/2018 0:15,CST,6.55
1/3/2018 0:30,CST,6.54
1/3/2018 0:45,CST,6.52
1/3/2018 1:00,CST,6.5
1/3/2018 1:15,CST,6.49
1/3/2018 1:30,CST,6.48
1/3/2018 1:45,CST,6.47
1/3/2018 2:00,CST,6.46
1/3/2018 2:15,CST,6.44
1/3/2018 2:30,CST,6.43
1/3/2018 2:45,CST,6.42
1/3/2018 3:00,CST,6.41
1/3/2018 3:15,CST,6.4
1/3/2018 3:30,CST,6.39
1/3/2018 3:45,CST,6.38
1/3/2018 4:00,CST,6.36
1/3/2018 4:15,CST,6.34
1/3/2018 4:30,CST,6.33
1/3/2018 4:45,CST,6.32
1/3/2018 5:00,CST,6.3
1/3/2018 5:15,CST,6.29
1/3/2018 5:30,CST,6.27
1/3/2018 5:45,CST,6.26
1/3/2018 6:00,CST,6.24
1/3/2018 6:15,CST,6.22
1/3/2018 6:30,CST,6.21
1/3/2018 6:45,CST,6.19
1/3/2018 7:00,CST,6.17
1/3/2018 7:15,CST,6.15
1/3/2018 7:30,CST,6.14
1/3/2018 7:45,CST,6.12
1/3/2018 8:00,CST,6.11
1/3/2018 8:15,CST,6.09
1/3/2018 8:30,CST,6.07
1/3/2018 8:45,CST,6.06
1/3/2018 9:00,CST,6.04
1/3/2018 9:15,CST,6.04
1/3/2018 9:30,CST,6.02
1/3/2018 9:45,CST,6
1/3/2018 10:00,CST,6
1/3/2018 10:15,CST,5.99
1/3/2018 10:30,CST,5.97
1/3/2018 10:45,CST,5.96
1/3/2018 11:00,CST,5.96
1/3/2018 11:15,CST,5.94
1/3/2018 11:30,CST,5.94
1/3/2018 11:45,CST,5.92
1/3/2018 12:00,CST,5.92
1/3/2018 12:15,CST,5.92
1/3/2018 12:30,CST,5.93
1/3/2018 12:45,CST,5.92
1/3/2018 13:00,CST,5.93
1/3/2018 13:15,CST,5.93
1/3/2018 13:30,CST,5.94
1/3/2018 13:45,CST,5.95
1/3/2018 14:00,CST,5.96
1/3/2018 14:15,CST,5.98
1/3/2018 14:30,CST,6.01
1/3/2018 14:45,CST,6.02
1/3/2018 15:00,CST,6.05
1/3/2018 15:15,CST,6.08
1/3/2018 15:30,CST,6.12
1/3/2018 15:45,CST,6.15
1/3/2018 16:00,CST,6.19
1/3/2018 16:15,CST,6.22
1/3/2018 16:30,CST,6.25
1/3/2018 16:45,CST,6.28
1/3/2018 17:00,CST,6.31
1/3/2018 17:15,CST,6.35
1/3/2018 17:30,CST,6.37
1/3/2018 17:45,CST,6.4
1/3/2018 18:00,CST,6.42
1/3/2018 18:15,CST,6.44
1/3/2018 18:30,CST,6.46
1/3/2018 18:45,CST,6.46
1/3/2018 19:00,CST,6.47
1/3/2018 19:15,CST,6.48
1/3/2018 19:30,CST,6.48
1/3/2018 19:45,CST,6.49
1/3/2018 20:00,CST,6.49
1/3/2018 20:15,CST,6.48
1/3/2018 20:30,CST,6.48
1/3/2018 20:45,CST,6.48
1/3/2018 21:00,CST,6.47
1/3/2018 21:15,CST,6.46
1/3/2018 21:30,CST,6.45
1/3/2018 21:45,CST,6.44
1/3/2018 22:00,CST,6.43
1/3/2018 22:15,CST,6.42
1/3/2018 22:30,CST,6.41
1/3/2018 22:45,CST,6.4
1/3/2018 23:00,CST,6.38
1/3/2018 23:15,CST,6.37
1/3/2018 23:30,CST,6.36
1/3/2018 23:45,CST,6.35
1/4/2018 0:00,CST,6.33
1/4/2018 0:15,CST,6.32
1/4/2018 0:30,CST,6.3
1/4/2018 0:45,CST,6.29
1/4/2018 1:00,CST,6.27
1/4/2018 1:15,CST,6.25
1/4/2018 1:30,CST,6.24
1/4/2018 1:45,CST,6.23
1/4/2018 2:00,CST,6.21
1/4/2018 2:15,CST,6.2
